bonus_id,karyawan_id,periode_bulan,periode_tahun,jenis_bonus,jumlah_bonus,keterangan
1,1,7,2024,Prestasi,5056767,Bonus Prestasi periode 7/2024
2,2,7,2024,Performa,1266114,Bonus Performa periode 7/2024
3,3,7,2024,Prestasi,4201178,Bonus Prestasi periode 7/2024
4,9,7,2024,Performa,9929604,Bonus Performa periode 7/2024
5,15,7,2024,Performa,8635573,Bonus Performa periode 7/2024
6,18,7,2024,Prestasi,2781968,Bonus Prestasi periode 7/2024
7,22,7,2024,Prestasi,9606240,Bonus Prestasi periode 7/2024
8,25,7,2024,Prestasi,5865475,Bonus Prestasi periode 7/2024
9,29,7,2024,Proyek,5363901,Bonus Proyek periode 7/2024
10,31,7,2024,Prestasi,9586282,Bonus Prestasi periode 7/2024
11,32,7,2024,Proyek,8430106,Bonus Proyek periode 7/2024
12,33,7,2024,Performa,3207976,Bonus Performa periode 7/2024
13,38,7,2024,Performa,1798248,Bonus Performa periode 7/2024
14,39,7,2024,Proyek,4609000,Bonus Proyek periode 7/2024
15,42,7,2024,Prestasi,8850084,Bonus Prestasi periode 7/2024
16,43,7,2024,Tahunan,6696715,Bonus Tahunan periode 7/2024
17,45,7,2024,Prestasi,7923085,Bonus Prestasi periode 7/2024
18,46,7,2024,Proyek,6095927,Bonus Proyek periode 7/2024
19,2,8,2024,Proyek,2487463,Bonus Proyek periode 8/2024
20,4,8,2024,Prestasi,8064757,Bonus Prestasi periode 8/2024
21,10,8,2024,Proyek,4367849,Bonus Proyek periode 8/2024
22,11,8,2024,Prestasi,5396359,Bonus Prestasi periode 8/2024
23,12,8,2024,Tahunan,6223714,Bonus Tahunan periode 8/2024
24,13,8,2024,Proyek,8445900,Bonus Proyek periode 8/2024
25,15,8,2024,Tahunan,2656608,Bonus Tahunan periode 8/2024
26,18,8,2024,Prestasi,2622727,Bonus Prestasi periode 8/2024
27,20,8,2024,Proyek,8267921,Bonus Proyek periode 8/2024
28,21,8,2024,Proyek,3135945,Bonus Proyek periode 8/2024
29,23,8,2024,Performa,5495873,Bonus Performa periode 8/2024
30,27,8,2024,Tahunan,7310219,Bonus Tahunan periode 8/2024
31,29,8,2024,Tahunan,3478954,Bonus Tahunan periode 8/2024
32,31,8,2024,Tahunan,9562069,Bonus Tahunan periode 8/2024
33,40,8,2024,Tahunan,1791301,Bonus Tahunan periode 8/2024
34,41,8,2024,Prestasi,4940255,Bonus Prestasi periode 8/2024
35,44,8,2024,Proyek,6627393,Bonus Proyek periode 8/2024
36,45,8,2024,Prestasi,1061087,Bonus Prestasi periode 8/2024
37,46,8,2024,Proyek,5264087,Bonus Proyek periode 8/2024
38,47,8,2024,Proyek,7972620,Bonus Proyek periode 8/2024
39,48,8,2024,Tahunan,7255504,Bonus Tahunan periode 8/2024
40,49,8,2024,Tahunan,8889989,Bonus Tahunan periode 8/2024
41,1,9,2024,Prestasi,3785111,Bonus Prestasi periode 9/2024
42,3,9,2024,Proyek,9871967,Bonus Proyek periode 9/2024
43,4,9,2024,Prestasi,5394221,Bonus Prestasi periode 9/2024
44,5,9,2024,Tahunan,9351548,Bonus Tahunan periode 9/2024
45,7,9,2024,Tahunan,3024323,Bonus Tahunan periode 9/2024
46,11,9,2024,Performa,2353690,Bonus Performa periode 9/2024
47,13,9,2024,Performa,1809251,Bonus Performa periode 9/2024
48,15,9,2024,Performa,1466436,Bonus Performa periode 9/2024
49,18,9,2024,Prestasi,7584988,Bonus Prestasi periode 9/2024
50,19,9,2024,Proyek,1069072,Bonus Proyek periode 9/2024
51,22,9,2024,Proyek,4096824,Bonus Proyek periode 9/2024
52,23,9,2024,Proyek,2745621,Bonus Proyek periode 9/2024
53,26,9,2024,Tahunan,4034103,Bonus Tahunan periode 9/2024
54,27,9,2024,Performa,3174505,Bonus Performa periode 9/2024
55,28,9,2024,Performa,4632610,Bonus Performa periode 9/2024
56,31,9,2024,Proyek,9705013,Bonus Proyek periode 9/2024
57,32,9,2024,Tahunan,6347685,Bonus Tahunan periode 9/2024
58,33,9,2024,Prestasi,8050615,Bonus Prestasi periode 9/2024
59,38,9,2024,Tahunan,9714542,Bonus Tahunan periode 9/2024
60,39,9,2024,Prestasi,1026333,Bonus Prestasi periode 9/2024
61,44,9,2024,Tahunan,3415498,Bonus Tahunan periode 9/2024
62,45,9,2024,Performa,6693095,Bonus Performa periode 9/2024
63,49,9,2024,Proyek,4379879,Bonus Proyek periode 9/2024
64,5,10,2024,Performa,7775721,Bonus Performa periode 10/2024
65,6,10,2024,Tahunan,2647809,Bonus Tahunan periode 10/2024
66,9,10,2024,Performa,3553030,Bonus Performa periode 10/2024
67,10,10,2024,Tahunan,1020479,Bonus Tahunan periode 10/2024
68,11,10,2024,Proyek,8125045,Bonus Proyek periode 10/2024
69,12,10,2024,Prestasi,8006576,Bonus Prestasi periode 10/2024
70,15,10,2024,Tahunan,6041002,Bonus Tahunan periode 10/2024
71,16,10,2024,Prestasi,9270591,Bonus Prestasi periode 10/2024
72,19,10,2024,Tahunan,8617168,Bonus Tahunan periode 10/2024
73,20,10,2024,Proyek,3778320,Bonus Proyek periode 10/2024
74,22,10,2024,Proyek,6809810,Bonus Proyek periode 10/2024
75,23,10,2024,Performa,9378822,Bonus Performa periode 10/2024
76,25,10,2024,Proyek,9017419,Bonus Proyek periode 10/2024
77,27,10,2024,Proyek,7447658,Bonus Proyek periode 10/2024
78,28,10,2024,Performa,3462039,Bonus Performa periode 10/2024
79,29,10,2024,Performa,2931426,Bonus Performa periode 10/2024
80,30,10,2024,Proyek,8752175,Bonus Proyek periode 10/2024
81,31,10,2024,Proyek,9433858,Bonus Proyek periode 10/2024
82,32,10,2024,Performa,5451429,Bonus Performa periode 10/2024
83,33,10,2024,Performa,3604144,Bonus Performa periode 10/2024
84,35,10,2024,Proyek,6637282,Bonus Proyek periode 10/2024
85,36,10,2024,Prestasi,5423886,Bonus Prestasi periode 10/2024
86,38,10,2024,Performa,3134241,Bonus Performa periode 10/2024
87,39,10,2024,Performa,5696379,Bonus Performa periode 10/2024
88,42,10,2024,Proyek,5021420,Bonus Proyek periode 10/2024
89,43,10,2024,Performa,2359438,Bonus Performa periode 10/2024
90,45,10,2024,Proyek,8978136,Bonus Proyek periode 10/2024
91,46,10,2024,Proyek,5280492,Bonus Proyek periode 10/2024
92,47,10,2024,Tahunan,3773321,Bonus Tahunan periode 10/2024
93,48,10,2024,Proyek,4688724,Bonus Proyek periode 10/2024
94,2,11,2024,Proyek,2527359,Bonus Proyek periode 11/2024
95,4,11,2024,Tahunan,9075879,Bonus Tahunan periode 11/2024
96,6,11,2024,Performa,9302586,Bonus Performa periode 11/2024
97,7,11,2024,Proyek,7409029,Bonus Proyek periode 11/2024
98,9,11,2024,Performa,1279375,Bonus Performa periode 11/2024
99,10,11,2024,Performa,1707045,Bonus Performa periode 11/2024
100,14,11,2024,Tahunan,6800276,Bonus Tahunan periode 11/2024
101,18,11,2024,Performa,2274487,Bonus Performa periode 11/2024
102,20,11,2024,Proyek,1564646,Bonus Proyek periode 11/2024
103,27,11,2024,Prestasi,4920839,Bonus Prestasi periode 11/2024
