lembur_id,karyawan_id,tanggal,jam_mulai,jam_selesai,durasi_jam,status_approval,keterangan
1,11,2024-07-01,2024-07-01 17:30:00,2024-07-01 18:30:00,1,Ditolak,Lembur proyek 3
2,17,2024-07-01,2024-07-01 17:30:00,2024-07-01 19:30:00,2,Ditolak,Lembur proyek 5
3,25,2024-07-01,2024-07-01 17:30:00,2024-07-01 20:30:00,3,Ditolak,Lembur proyek 3
4,29,2024-07-01,2024-07-01 17:30:00,2024-07-01 19:30:00,2,Ditolak,Lembur proyek 3
5,40,2024-07-01,2024-07-01 17:30:00,2024-07-01 19:30:00,2,Ditolak,Lembur proyek 3
6,43,2024-07-01,2024-07-01 17:30:00,2024-07-01 20:30:00,3,Disetujui,Lembur proyek 3
7,44,2024-07-01,2024-07-01 17:30:00,2024-07-01 19:30:00,2,Disetujui,Lembur proyek 5
8,45,2024-07-01,2024-07-01 17:30:00,2024-07-01 19:30:00,2,Ditolak,Lembur proyek 2
9,46,2024-07-01,2024-07-01 17:30:00,2024-07-01 21:30:00,4,Disetujui,Lembur proyek 3
10,50,2024-07-01,2024-07-01 17:30:00,2024-07-01 19:30:00,2,Disetujui,Lembur proyek 5
11,4,2024-07-02,2024-07-02 17:30:00,2024-07-02 21:30:00,4,Disetujui,Lembur proyek 1
12,8,2024-07-02,2024-07-02 17:30:00,2024-07-02 21:30:00,4,Disetujui,Lembur proyek 4
13,12,2024-07-02,2024-07-02 17:30:00,2024-07-02 18:30:00,1,Ditolak,Lembur proyek 5
14,19,2024-07-02,2024-07-02 17:30:00,2024-07-02 18:30:00,1,Disetujui,Lembur proyek 2
15,21,2024-07-02,2024-07-02 17:30:00,2024-07-02 19:30:00,2,Disetujui,Lembur proyek 3
16,22,2024-07-02,2024-07-02 17:30:00,2024-07-02 18:30:00,1,Ditolak,Lembur proyek 1
17,25,2024-07-02,2024-07-02 17:30:00,2024-07-02 19:30:00,2,Disetujui,Lembur proyek 3
18,32,2024-07-02,2024-07-02 17:30:00,2024-07-02 20:30:00,3,Ditolak,Lembur proyek 2
19,35,2024-07-02,2024-07-02 17:30:00,2024-07-02 20:30:00,3,Ditolak,Lembur proyek 1
20,37,2024-07-02,2024-07-02 17:30:00,2024-07-02 20:30:00,3,Ditolak,Lembur proyek 5
21,40,2024-07-02,2024-07-02 17:30:00,2024-07-02 19:30:00,2,Disetujui,Lembur proyek 4
22,41,2024-07-02,2024-07-02 17:30:00,2024-07-02 21:30:00,4,Ditolak,Lembur proyek 4
23,42,2024-07-02,2024-07-02 17:30:00,2024-07-02 18:30:00,1,Ditolak,Lembur proyek 5
24,44,2024-07-02,2024-07-02 17:30:00,2024-07-02 18:30:00,1,Disetujui,Lembur proyek 5
25,46,2024-07-02,2024-07-02 17:30:00,2024-07-02 19:30:00,2,Disetujui,Lembur proyek 5
26,47,2024-07-02,2024-07-02 17:30:00,2024-07-02 21:30:00,4,Ditolak,Lembur proyek 4
