bonus_id,karyawan_id,periode_bulan,periode_tahun,jenis_bonus,jumlah_bonus,keterangan
1,2,7,2024,Prestasi,8890050,Bonus Prestasi periode 7/2024
2,3,7,2024,Performa,7630130,Bonus Performa periode 7/2024
3,4,7,2024,Performa,3117021,Bonus Performa periode 7/2024
4,6,7,2024,Performa,4594498,Bonus Performa periode 7/2024
5,7,7,2024,Prestasi,7552183,Bonus Prestasi periode 7/2024
6,8,7,2024,Prestasi,9587706,Bonus Prestasi periode 7/2024
7,9,7,2024,Prestasi,3969993,Bonus Prestasi periode 7/2024
8,10,7,2024,Proyek,9261859,Bonus Proyek periode 7/2024
9,12,7,2024,Proyek,8284233,Bonus Proyek periode 7/2024
10,13,7,2024,Tahunan,3125473,Bonus Tahunan periode 7/2024
11,15,7,2024,Prestasi,5056767,Bonus Prestasi periode 7/2024
12,16,7,2024,Performa,1266114,Bonus Performa periode 7/2024
13,17,7,2024,Prestasi,4201178,Bonus Prestasi periode 7/2024
14,23,7,2024,Performa,9929604,Bonus Performa periode 7/2024
15,29,7,2024,Performa,8635573,Bonus Performa periode 7/2024
16,32,7,2024,Prestasi,2781968,Bonus Prestasi periode 7/2024
17,36,7,2024,Prestasi,9606240,Bonus Prestasi periode 7/2024
18,39,7,2024,Prestasi,5865475,Bonus Prestasi periode 7/2024
19,43,7,2024,Proyek,5363901,Bonus Proyek periode 7/2024
20,45,7,2024,Prestasi,9586282,Bonus Prestasi periode 7/2024
21,46,7,2024,Proyek,8430106,Bonus Proyek periode 7/2024
22,47,7,2024,Performa,3207976,Bonus Performa periode 7/2024
23,2,8,2024,Performa,1798248,Bonus Performa periode 8/2024
24,3,8,2024,Proyek,4609000,Bonus Proyek periode 8/2024
25,6,8,2024,Prestasi,8850084,Bonus Prestasi periode 8/2024
26,7,8,2024,Tahunan,6696715,Bonus Tahunan periode 8/2024
27,9,8,2024,Prestasi,7923085,Bonus Prestasi periode 8/2024
28,10,8,2024,Proyek,6095927,Bonus Proyek periode 8/2024
29,16,8,2024,Proyek,2487463,Bonus Proyek periode 8/2024
30,18,8,2024,Prestasi,8064757,Bonus Prestasi periode 8/2024
31,24,8,2024,Proyek,4367849,Bonus Proyek periode 8/2024
32,25,8,2024,Prestasi,5396359,Bonus Prestasi periode 8/2024
33,26,8,2024,Tahunan,6223714,Bonus Tahunan periode 8/2024
34,27,8,2024,Proyek,8445900,Bonus Proyek periode 8/2024
35,29,8,2024,Tahunan,2656608,Bonus Tahunan periode 8/2024
36,32,8,2024,Prestasi,2622727,Bonus Prestasi periode 8/2024
37,34,8,2024,Proyek,8267921,Bonus Proyek periode 8/2024
38,35,8,2024,Proyek,3135945,Bonus Proyek periode 8/2024
39,37,8,2024,Performa,5495873,Bonus Performa periode 8/2024
40,41,8,2024,Tahunan,7310219,Bonus Tahunan periode 8/2024
41,43,8,2024,Tahunan,3478954,Bonus Tahunan periode 8/2024
42,45,8,2024,Tahunan,9562069,Bonus Tahunan periode 8/2024
43,4,9,2024,Tahunan,1791301,Bonus Tahunan periode 9/2024
44,5,9,2024,Prestasi,4940255,Bonus Prestasi periode 9/2024
45,8,9,2024,Proyek,6627393,Bonus Proyek periode 9/2024
46,9,9,2024,Prestasi,1061087,Bonus Prestasi periode 9/2024
47,10,9,2024,Proyek,5264087,Bonus Proyek periode 9/2024
48,11,9,2024,Proyek,7972620,Bonus Proyek periode 9/2024
49,12,9,2024,Tahunan,7255504,Bonus Tahunan periode 9/2024
50,13,9,2024,Tahunan,8889989,Bonus Tahunan periode 9/2024
51,15,9,2024,Prestasi,3785111,Bonus Prestasi periode 9/2024
52,17,9,2024,Proyek,9871967,Bonus Proyek periode 9/2024
53,18,9,2024,Prestasi,5394221,Bonus Prestasi periode 9/2024
54,19,9,2024,Tahunan,9351548,Bonus Tahunan periode 9/2024
55,21,9,2024,Tahunan,3024323,Bonus Tahunan periode 9/2024
56,25,9,2024,Performa,2353690,Bonus Performa periode 9/2024
57,27,9,2024,Performa,1809251,Bonus Performa periode 9/2024
58,29,9,2024,Performa,1466436,Bonus Performa periode 9/2024
59,32,9,2024,Prestasi,7584988,Bonus Prestasi periode 9/2024
60,33,9,2024,Proyek,1069072,Bonus Proyek periode 9/2024
61,36,9,2024,Proyek,4096824,Bonus Proyek periode 9/2024
62,37,9,2024,Proyek,2745621,Bonus Proyek periode 9/2024
63,40,9,2024,Tahunan,4034103,Bonus Tahunan periode 9/2024
64,41,9,2024,Performa,3174505,Bonus Performa periode 9/2024
65,42,9,2024,Performa,4632610,Bonus Performa periode 9/2024
66,45,9,2024,Proyek,9705013,Bonus Proyek periode 9/2024
67,46,9,2024,Tahunan,6347685,Bonus Tahunan periode 9/2024
68,47,9,2024,Prestasi,8050615,Bonus Prestasi periode 9/2024
69,2,10,2024,Tahunan,9714542,Bonus Tahunan periode 10/2024
70,3,10,2024,Prestasi,1026333,Bonus Prestasi periode 10/2024
71,8,10,2024,Tahunan,3415498,Bonus Tahunan periode 10/2024
72,9,10,2024,Performa,6693095,Bonus Performa periode 10/2024
73,13,10,2024,Proyek,4379879,Bonus Proyek periode 10/2024
74,19,10,2024,Performa,7775721,Bonus Performa periode 10/2024
75,20,10,2024,Tahunan,2647809,Bonus Tahunan periode 10/2024
76,23,10,2024,Performa,3553030,Bonus Performa periode 10/2024
77,24,10,2024,Tahunan,1020479,Bonus Tahunan periode 10/2024
78,25,10,2024,Proyek,8125045,Bonus Proyek periode 10/2024
79,26,10,2024,Prestasi,8006576,Bonus Prestasi periode 10/2024
80,29,10,2024,Tahunan,6041002,Bonus Tahunan periode 10/2024
81,30,10,2024,Prestasi,9270591,Bonus Prestasi periode 10/2024
82,33,10,2024,Tahunan,8617168,Bonus Tahunan periode 10/2024
83,34,10,2024,Proyek,3778320,Bonus Proyek periode 10/2024
84,36,10,2024,Proyek,6809810,Bonus Proyek periode 10/2024
85,37,10,2024,Performa,9378822,Bonus Performa periode 10/2024
