kehadiran_id,karyawan_id,tanggal,waktu_masuk,waktu_keluar,status_kehadiran,keterlambatan_menit,keterangan
1,1,2024-07-01,,,Sakit,0,Keterangan untuk Sakit
2,2,2024-07-01,2024-07-01 08:14:00,2024-07-01 17:13:00,Hadir,0,Keterangan untuk Hadir
3,3,2024-07-01,2024-07-01 08:22:00,2024-07-01 17:22:00,Hadir,0,Keterangan untuk Hadir
4,4,2024-07-01,2024-07-01 08:04:00,2024-07-01 17:20:00,Hadir,0,Keterangan untuk Hadir
5,5,2024-07-01,2024-07-01 08:24:00,2024-07-01 17:28:00,Hadir,27,Keterangan untuk Hadir
6,6,2024-07-01,2024-07-01 08:05:00,2024-07-01 17:25:00,Hadir,0,Keterangan untuk Hadir
7,7,2024-07-01,2024-07-01 08:01:00,2024-07-01 17:17:00,Hadir,0,Keterangan untuk Hadir
8,8,2024-07-01,2024-07-01 08:04:00,2024-07-01 17:25:00,Hadir,14,Keterangan untuk Hadir
9,9,2024-07-01,2024-07-01 08:17:00,2024-07-01 17:19:00,Hadir,0,Keterangan untuk Hadir
10,10,2024-07-01,2024-07-01 08:14:00,2024-07-01 17:19:00,Hadir,0,Keterangan untuk Hadir
11,11,2024-07-01,2024-07-01 08:26:00,2024-07-01 17:29:00,Hadir,13,Keterangan untuk Hadir
12,12,2024-07-01,2024-07-01 08:27:00,2024-07-01 17:15:00,Hadir,23,Keterangan untuk Hadir
13,13,2024-07-01,2024-07-01 08:26:00,2024-07-01 17:20:00,Hadir,0,Keterangan untuk Hadir
14,14,2024-07-01,2024-07-01 08:15:00,2024-07-01 17:20:00,Hadir,0,Keterangan untuk Hadir
15,15,2024-07-01,2024-07-01 08:22:00,2024-07-01 17:09:00,Hadir,0,Keterangan untuk Hadir
16,16,2024-07-01,2024-07-01 08:28:00,2024-07-01 17:17:00,Hadir,0,Keterangan untuk Hadir
17,17,2024-07-01,,,Izin,0,Keterangan untuk Izin
18,18,2024-07-01,2024-07-01 08:22:00,2024-07-01 17:06:00,Hadir,0,Keterangan untuk Hadir
19,19,2024-07-01,,,Sakit,0,Keterangan untuk Sakit
20,20,2024-07-01,2024-07-01 08:01:00,2024-07-01 17:06:00,Hadir,0,Keterangan untuk Hadir
21,21,2024-07-01,2024-07-01 08:24:00,2024-07-01 17:18:00,Hadir,0,Keterangan untuk Hadir
22,22,2024-07-01,2024-07-01 08:28:00,2024-07-01 17:24:00,Hadir,0,Keterangan untuk Hadir
23,23,2024-07-01,2024-07-01 08:30:00,2024-07-01 17:11:00,Hadir,0,Keterangan untuk Hadir
24,24,2024-07-01,2024-07-01 08:28:00,2024-07-01 17:30:00,Hadir,0,Keterangan untuk Hadir
25,25,2024-07-01,2024-07-01 08:23:00,2024-07-01 17:17:00,Hadir,0,Keterangan untuk Hadir
26,26,2024-07-01,2024-07-01 08:07:00,2024-07-01 17:08:00,Hadir,15,Keterangan untuk Hadir
27,27,2024-07-01,2024-07-01 08:10:00,2024-07-01 17:21:00,Hadir,0,Keterangan untuk Hadir
28,28,2024-07-01,2024-07-01 08:05:00,2024-07-01 17:26:00,Hadir,0,Keterangan untuk Hadir
29,29,2024-07-01,2024-07-01 08:19:00,2024-07-01 17:17:00,Hadir,0,Keterangan untuk Hadir
30,30,2024-07-01,,,Sakit,0,Keterangan untuk Sakit
31,31,2024-07-01,2024-07-01 08:02:00,2024-07-01 17:20:00,Hadir,0,Keterangan untuk Hadir
32,32,2024-07-01,2024-07-01 08:01:00,2024-07-01 17:08:00,Hadir,5,Keterangan untuk Hadir
33,33,2024-07-01,2024-07-01 08:10:00,2024-07-01 17:10:00,Hadir,0,Keterangan untuk Hadir
34,34,2024-07-01,2024-07-01 08:24:00,2024-07-01 17:30:00,Hadir,0,Keterangan untuk Hadir
35,35,2024-07-01,2024-07-01 08:02:00,2024-07-01 17:15:00,Hadir,0,Keterangan untuk Hadir
36,36,2024-07-01,,,Tanpa Keterangan,0,Keterangan untuk Tanpa Keterangan
37,37,2024-07-01,,,Sakit,0,Keterangan untuk Sakit
38,38,2024-07-01,2024-07-01 08:30:00,2024-07-01 17:20:00,Hadir,0,Keterangan untuk Hadir
39,39,2024-07-01,,,Izin,0,Keterangan untuk Izin
40,40,2024-07-01,2024-07-01 08:00:00,2024-07-01 17:19:00,Hadir,0,Keterangan untuk Hadir
41,41,2024-07-01,2024-07-01 08:21:00,2024-07-01 17:03:00,Hadir,0,Keterangan untuk Hadir
42,42,2024-07-01,2024-07-01 08:22:00,2024-07-01 17:08:00,Hadir,0,Keterangan untuk Hadir
43,43,2024-07-01,2024-07-01 08:19:00,2024-07-01 17:30:00,Hadir,0,Keterangan untuk Hadir
44,44,2024-07-01,2024-07-01 08:26:00,2024-07-01 17:05:00,Hadir,0,Keterangan untuk Hadir
45,45,2024-07-01,2024-07-01 08:00:00,2024-07-01 17:29:00,Hadir,0,Keterangan untuk Hadir
46,46,2024-07-01,2024-07-01 08:30:00,2024-07-01 17:12:00,Hadir,0,Keterangan untuk Hadir
47,47,2024-07-01,2024-07-01 08:02:00,2024-07-01 17:18:00,Hadir,0,Keterangan untuk Hadir
48,48,2024-07-01,2024-07-01 08:03:00,2024-07-01 17:22:00,Hadir,0,Keterangan untuk Hadir
49,49,2024-07-01,2024-07-01 08:25:00,2024-07-01 17:03:00,Hadir,19,Keterangan untuk Hadir
50,50,2024-07-01,2024-07-01 08:01:00,2024-07-01 17:11:00,Hadir,0,Keterangan untuk Hadir
51,1,2024-07-02,2024-07-02 08:02:00,2024-07-02 17:16:00,Hadir,0,Keterangan untuk Hadir
52,2,2024-07-02,2024-07-02 08:13:00,2024-07-02 17:26:00,Hadir,0,Keterangan untuk Hadir
53,3,2024-07-02,2024-07-02 08:11:00,2024-07-02 17:20:00,Hadir,0,Keterangan untuk Hadir
54,4,2024-07-02,2024-07-02 08:04:00,2024-07-02 17:13:00,Hadir,0,Keterangan untuk Hadir
55,5,2024-07-02,2024-07-02 08:20:00,2024-07-02 17:08:00,Hadir,0,Keterangan untuk Hadir
