lembur_id,karyawan_id,tanggal,jam_mulai,jam_selesai,durasi_jam,status_approval,keterangan
1,10,2024-07-01,2024-07-01 17:30:00,2024-07-01 21:30:00,4,Disetujui,Lembur proyek 2
2,11,2024-07-01,2024-07-01 17:30:00,2024-07-01 21:30:00,4,Disetujui,Lembur proyek 1
3,17,2024-07-01,2024-07-01 17:30:00,2024-07-01 21:30:00,4,Disetujui,Lembur proyek 2
4,22,2024-07-01,2024-07-01 17:30:00,2024-07-01 19:30:00,2,Ditolak,Lembur proyek 4
5,24,2024-07-01,2024-07-01 17:30:00,2024-07-01 18:30:00,1,Ditolak,Lembur proyek 1
6,32,2024-07-01,2024-07-01 17:30:00,2024-07-01 18:30:00,1,Disetujui,Lembur proyek 5
7,34,2024-07-01,2024-07-01 17:30:00,2024-07-01 18:30:00,1,Ditolak,Lembur proyek 3
8,38,2024-07-01,2024-07-01 17:30:00,2024-07-01 18:30:00,1,Ditolak,Lembur proyek 3
9,44,2024-07-01,2024-07-01 17:30:00,2024-07-01 19:30:00,2,Ditolak,Lembur proyek 5
10,2,2024-07-02,2024-07-02 17:30:00,2024-07-02 20:30:00,3,Ditolak,Lembur proyek 3
11,6,2024-07-02,2024-07-02 17:30:00,2024-07-02 19:30:00,2,Ditolak,Lembur proyek 3
12,17,2024-07-02,2024-07-02 17:30:00,2024-07-02 19:30:00,2,Ditolak,Lembur proyek 3
13,20,2024-07-02,2024-07-02 17:30:00,2024-07-02 20:30:00,3,Disetujui,Lembur proyek 3
14,21,2024-07-02,2024-07-02 17:30:00,2024-07-02 19:30:00,2,Disetujui,Lembur proyek 5
15,22,2024-07-02,2024-07-02 17:30:00,2024-07-02 19:30:00,2,Ditolak,Lembur proyek 2
16,23,2024-07-02,2024-07-02 17:30:00,2024-07-02 21:30:00,4,Disetujui,Lembur proyek 3
17,27,2024-07-02,2024-07-02 17:30:00,2024-07-02 19:30:00,2,Disetujui,Lembur proyek 5
18,31,2024-07-02,2024-07-02 17:30:00,2024-07-02 21:30:00,4,Disetujui,Lembur proyek 1
19,35,2024-07-02,2024-07-02 17:30:00,2024-07-02 21:30:00,4,Disetujui,Lembur proyek 4
20,39,2024-07-02,2024-07-02 17:30:00,2024-07-02 18:30:00,1,Ditolak,Lembur proyek 5
21,46,2024-07-02,2024-07-02 17:30:00,2024-07-02 18:30:00,1,Disetujui,Lembur proyek 2
22,48,2024-07-02,2024-07-02 17:30:00,2024-07-02 19:30:00,2,Disetujui,Lembur proyek 3
23,49,2024-07-02,2024-07-02 17:30:00,2024-07-02 18:30:00,1,Ditolak,Lembur proyek 1
24,2,2024-07-03,2024-07-03 17:30:00,2024-07-03 19:30:00,2,Disetujui,Lembur proyek 3
25,9,2024-07-03,2024-07-03 17:30:00,2024-07-03 20:30:00,3,Ditolak,Lembur proyek 2
26,12,2024-07-03,2024-07-03 17:30:00,2024-07-03 20:30:00,3,Ditolak,Lembur proyek 1
27,14,2024-07-03,2024-07-03 17:30:00,2024-07-03 20:30:00,3,Ditolak,Lembur proyek 5
28,17,2024-07-03,2024-07-03 17:30:00,2024-07-03 19:30:00,2,Disetujui,Lembur proyek 4
29,18,2024-07-03,2024-07-03 17:30:00,2024-07-03 21:30:00,4,Ditolak,Lembur proyek 4
30,19,2024-07-03,2024-07-03 17:30:00,2024-07-03 18:30:00,1,Ditolak,Lembur proyek 5
31,21,2024-07-03,2024-07-03 17:30:00,2024-07-03 18:30:00,1,Disetujui,Lembur proyek 5
32,23,2024-07-03,2024-07-03 17:30:00,2024-07-03 19:30:00,2,Disetujui,Lembur proyek 5
33,24,2024-07-03,2024-07-03 17:30:00,2024-07-03 21:30:00,4,Ditolak,Lembur proyek 4
34,30,2024-07-03,2024-07-03 17:30:00,2024-07-03 19:30:00,2,Ditolak,Lembur proyek 4
35,42,2024-07-03,2024-07-03 17:30:00,2024-07-03 21:30:00,4,Ditolak,Lembur proyek 3
36,44,2024-07-03,2024-07-03 17:30:00,2024-07-03 20:30:00,3,Ditolak,Lembur proyek 3
37,45,2024-07-03,2024-07-03 17:30:00,2024-07-03 21:30:00,4,Ditolak,Lembur proyek 3
38,47,2024-07-03,2024-07-03 17:30:00,2024-07-03 21:30:00,4,Ditolak,Lembur proyek 4
39,50,2024-07-03,2024-07-03 17:30:00,2024-07-03 18:30:00,1,Disetujui,Lembur proyek 4
40,8,2024-07-04,2024-07-04 17:30:00,2024-07-04 19:30:00,2,Disetujui,Lembur proyek 3
41,16,2024-07-04,2024-07-04 17:30:00,2024-07-04 21:30:00,4,Disetujui,Lembur proyek 4
42,18,2024-07-04,2024-07-04 17:30:00,2024-07-04 20:30:00,3,Ditolak,Lembur proyek 4
43,24,2024-07-04,2024-07-04 17:30:00,2024-07-04 19:30:00,2,Disetujui,Lembur proyek 1
44,33,2024-07-04,2024-07-04 17:30:00,2024-07-04 19:30:00,2,Disetujui,Lembur proyek 5
45,37,2024-07-04,2024-07-04 17:30:00,2024-07-04 21:30:00,4,Ditolak,Lembur proyek 5
46,42,2024-07-04,2024-07-04 17:30:00,2024-07-04 18:30:00,1,Ditolak,Lembur proyek 5
47,45,2024-07-04,2024-07-04 17:30:00,2024-07-04 18:30:00,1,Ditolak,Lembur proyek 2
48,5,2024-07-05,2024-07-05 17:30:00,2024-07-05 21:30:00,4,Disetujui,Lembur proyek 5
49,6,2024-07-05,2024-07-05 17:30:00,2024-07-05 20:30:00,3,Ditolak,Lembur proyek 4
50,13,2024-07-05,2024-07-05 17:30:00,2024-07-05 21:30:00,4,Disetujui,Lembur proyek 3
51,21,2024-07-05,2024-07-05 17:30:00,2024-07-05 21:30:00,4,Ditolak,Lembur proyek 2
52,31,2024-07-05,2024-07-05 17:30:00,2024-07-05 21:30:00,4,Ditolak,Lembur proyek 4
53,41,2024-07-05,2024-07-05 17:30:00,2024-07-05 19:30:00,2,Disetujui,Lembur proyek 4
54,42,2024-07-05,2024-07-05 17:30:00,2024-07-05 18:30:00,1,Disetujui,Lembur proyek 2
55,49,2024-07-05,2024-07-05 17:30:00,2024-07-05 21:30:00,4,Disetujui,Lembur proyek 1
56,2,2024-07-06,2024-07-06 17:30:00,2024-07-06 21:30:00,4,Ditolak,Lembur proyek 1
57,4,2024-07-06,2024-07-06 17:30:00,2024-07-06 20:30:00,3,Ditolak,Lembur proyek 3
58,6,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Disetujui,Lembur proyek 2
59,7,2024-07-06,2024-07-06 17:30:00,2024-07-06 20:30:00,3,Ditolak,Lembur proyek 5
60,23,2024-07-06,2024-07-06 17:30:00,2024-07-06 20:30:00,3,Disetujui,Lembur proyek 3
61,25,2024-07-06,2024-07-06 17:30:00,2024-07-06 18:30:00,1,Disetujui,Lembur proyek 5
62,30,2024-07-06,2024-07-06 17:30:00,2024-07-06 21:30:00,4,Ditolak,Lembur proyek 4
63,33,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Ditolak,Lembur proyek 1
64,37,2024-07-06,2024-07-06 17:30:00,2024-07-06 21:30:00,4,Ditolak,Lembur proyek 5
65,39,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Ditolak,Lembur proyek 1
66,45,2024-07-06,2024-07-06 17:30:00,2024-07-06 20:30:00,3,Disetujui,Lembur proyek 4
67,46,2024-07-06,2024-07-06 17:30:00,2024-07-06 19:30:00,2,Ditolak,Lembur proyek 4
68,50,2024-07-06,2024-07-06 17:30:00,2024-07-06 18:30:00,1,Disetujui,Lembur proyek 1
69,6,2024-07-07,2024-07-07 17:30:00,2024-07-07 20:30:00,3,Disetujui,Lembur proyek 5
70,12,2024-07-07,2024-07-07 17:30:00,2024-07-07 18:30:00,1,Ditolak,Lembur proyek 1
71,13,2024-07-07,2024-07-07 17:30:00,2024-07-07 18:30:00,1,Ditolak,Lembur proyek 2
72,16,2024-07-07,2024-07-07 17:30:00,2024-07-07 19:30:00,2,Ditolak,Lembur proyek 2
73,18,2024-07-07,2024-07-07 17:30:00,2024-07-07 19:30:00,2,Ditolak,Lembur proyek 3
74,23,2024-07-07,2024-07-07 17:30:00,2024-07-07 19:30:00,2,Ditolak,Lembur proyek 5
75,27,2024-07-07,2024-07-07 17:30:00,2024-07-07 19:30:00,2,Disetujui,Lembur proyek 1
76,29,2024-07-07,2024-07-07 17:30:00,2024-07-07 18:30:00,1,Disetujui,Lembur proyek 5
77,43,2024-07-07,2024-07-07 17:30:00,2024-07-07 19:30:00,2,Disetujui,Lembur proyek 2
78,44,2024-07-07,2024-07-07 17:30:00,2024-07-07 20:30:00,3,Disetujui,Lembur proyek 2
79,2,2024-07-08,2024-07-08 17:30:00,2024-07-08 19:30:00,2,Ditolak,Lembur proyek 3
80,7,2024-07-08,2024-07-08 17:30:00,2024-07-08 18:30:00,1,Ditolak,Lembur proyek 1
81,21,2024-07-08,2024-07-08 17:30:00,2024-07-08 21:30:00,4,Disetujui,Lembur proyek 4
82,29,2024-07-08,2024-07-08 17:30:00,2024-07-08 21:30:00,4,Disetujui,Lembur proyek 2
83,30,2024-07-08,2024-07-08 17:30:00,2024-07-08 19:30:00,2,Disetujui,Lembur proyek 2
84,31,2024-07-08,2024-07-08 17:30:00,2024-07-08 20:30:00,3,Disetujui,Lembur proyek 4
85,33,2024-07-08,2024-07-08 17:30:00,2024-07-08 19:30:00,2,Ditolak,Lembur proyek 5
86,38,2024-07-08,2024-07-08 17:30:00,2024-07-08 21:30:00,4,Ditolak,Lembur proyek 4
87,8,2024-07-09,2024-07-09 17:30:00,2024-07-09 19:30:00,2,Ditolak,Lembur proyek 3
88,10,2024-07-09,2024-07-09 17:30:00,2024-07-09 20:30:00,3,Ditolak,Lembur proyek 1
89,15,2024-07-09,2024-07-09 17:30:00,2024-07-09 20:30:00,3,Ditolak,Lembur proyek 2
90,26,2024-07-09,2024-07-09 17:30:00,2024-07-09 19:30:00,2,Disetujui,Lembur proyek 3
91,28,2024-07-09,2024-07-09 17:30:00,2024-07-09 21:30:00,4,Disetujui,Lembur proyek 3
92,31,2024-07-09,2024-07-09 17:30:00,2024-07-09 19:30:00,2,Ditolak,Lembur proyek 5
