pelanggaran_id,karyawan_id,tanggal,jenis_pelanggaran,deskripsi,tingkat_keparahan,sanksi_potongan
1,2,2024-07-04,Terlambat Berulang,Deskripsi pelanggaran 1,Berat,297380
2,6,2024-07-09,Terlambat Berulang,Deskripsi pelanggaran 2,Sedang,82850
3,7,2024-07-14,Pelanggaran Dress Code,Deskripsi pelanggaran 3,Ringan,346015
4,8,2024-07-10,Terlambat Berulang,Deskripsi pelanggaran 4,Ringan,886740
5,15,2024-07-08,Kelalaian Tugas,Deskripsi pelanggaran 5,Ringan,419202
6,16,2024-07-14,Terlambat Berulang,Deskripsi pelanggaran 6,Berat,740275
7,20,2024-07-02,Kelalaian Tugas,Deskripsi pelanggaran 7,Ringan,467820
8,29,2024-07-05,Terlambat Berulang,Deskripsi pelanggaran 8,Sedang,51449
9,30,2024-07-15,Kelalaian Tugas,Deskripsi pelanggaran 9,Sedang,680292
10,31,2024-07-04,Terlambat Berulang,Deskripsi pelanggaran 10,Berat,894170
11,32,2024-07-01,Pelanggaran Dress Code,Deskripsi pelanggaran 11,Berat,94190
12,33,2024-07-20,Terlambat Berulang,Deskripsi pelanggaran 12,Berat,363541
13,35,2024-07-17,Absen Tanpa Keterangan,Deskripsi pelanggaran 13,Sedang,592157
14,36,2024-07-17,Absen Tanpa Keterangan,Deskripsi pelanggaran 14,Berat,122240
15,37,2024-07-02,Absen Tanpa Keterangan,Deskripsi pelanggaran 15,Berat,741931
16,38,2024-07-06,Terlambat Berulang,Deskripsi pelanggaran 16,Sedang,895888
17,44,2024-07-12,Terlambat Berulang,Deskripsi pelanggaran 17,Sedang,248686
18,9,2024-08-13,Kelalaian Tugas,Deskripsi pelanggaran 18,Berat,206165
19,11,2024-08-18,Kelalaian Tugas,Deskripsi pelanggaran 19,Berat,873228
20,17,2024-08-05,Kelalaian Tugas,Deskripsi pelanggaran 20,Berat,143652
21,24,2024-08-19,Pelanggaran Dress Code,Deskripsi pelanggaran 21,Berat,639753
22,25,2024-08-07,Absen Tanpa Keterangan,Deskripsi pelanggaran 22,Ringan,164034
23,29,2024-08-28,Kelalaian Tugas,Deskripsi pelanggaran 23,Berat,829351
24,30,2024-08-22,Pelanggaran Dress Code,Deskripsi pelanggaran 24,Ringan,734089
25,42,2024-08-28,Terlambat Berulang,Deskripsi pelanggaran 25,Sedang,235378
26,45,2024-08-13,Terlambat Berulang,Deskripsi pelanggaran 26,Berat,834054
27,46,2024-08-22,Kelalaian Tugas,Deskripsi pelanggaran 27,Berat,621453
28,1,2024-09-14,Terlambat Berulang,Deskripsi pelanggaran 28,Ringan,619040
29,5,2024-09-22,Kelalaian Tugas,Deskripsi pelanggaran 29,Berat,210640
30,8,2024-09-23,Absen Tanpa Keterangan,Deskripsi pelanggaran 30,Sedang,583460
31,16,2024-09-22,Pelanggaran Dress Code,Deskripsi pelanggaran 31,Ringan,952818
32,23,2024-09-12,Absen Tanpa Keterangan,Deskripsi pelanggaran 32,Ringan,342263
33,33,2024-09-28,Pelanggaran Dress Code,Deskripsi pelanggaran 33,Berat,804540
34,35,2024-09-09,Absen Tanpa Keterangan,Deskripsi pelanggaran 34,Ringan,157810
35,37,2024-09-23,Kelalaian Tugas,Deskripsi pelanggaran 35,Sedang,679124
