pelanggaran_id,karyawan_id,tanggal,jenis_pelanggaran,deskripsi,tingkat_keparahan,sanksi_potongan
1,6,2024-07-05,Terlambat Berulang,Deskripsi pelanggaran 1,Sedang,51449
2,7,2024-07-15,Kelalaian Tugas,Deskripsi pelanggaran 2,Sedang,680292
3,8,2024-07-04,Terlambat Berulang,Deskripsi pelanggaran 3,Berat,894170
4,9,2024-07-01,Pelanggaran Dress Code,Deskripsi pelanggaran 4,Berat,94190
5,10,2024-07-20,Terlambat Berulang,Deskripsi pelanggaran 5,Berat,363541
6,12,2024-07-17,Absen Tanpa Keterangan,Deskripsi pelanggaran 6,Sedang,592157
7,13,2024-07-17,Absen Tanpa Keterangan,Deskripsi pelanggaran 7,Berat,122240
8,14,2024-07-02,Absen Tanpa Keterangan,Deskripsi pelanggaran 8,Berat,741931
9,15,2024-07-06,Terlambat Berulang,Deskripsi pelanggaran 9,Sedang,895888
10,21,2024-07-12,Terlambat Berulang,Deskripsi pelanggaran 10,Sedang,248686
11,36,2024-07-13,Kelalaian Tugas,Deskripsi pelanggaran 11,Berat,206165
12,38,2024-07-18,Kelalaian Tugas,Deskripsi pelanggaran 12,Berat,873228
13,44,2024-07-05,Kelalaian Tugas,Deskripsi pelanggaran 13,Berat,143652
14,1,2024-08-19,Pelanggaran Dress Code,Deskripsi pelanggaran 14,Berat,639753
15,2,2024-08-07,Absen Tanpa Keterangan,Deskripsi pelanggaran 15,Ringan,164034
16,6,2024-08-28,Kelalaian Tugas,Deskripsi pelanggaran 16,Berat,829351
17,7,2024-08-22,Pelanggaran Dress Code,Deskripsi pelanggaran 17,Ringan,734089
18,19,2024-08-28,Terlambat Berulang,Deskripsi pelanggaran 18,Sedang,235378
19,22,2024-08-13,Terlambat Berulang,Deskripsi pelanggaran 19,Berat,834054
20,23,2024-08-22,Kelalaian Tugas,Deskripsi pelanggaran 20,Berat,621453
21,28,2024-08-14,Terlambat Berulang,Deskripsi pelanggaran 21,Ringan,619040
22,32,2024-08-22,Kelalaian Tugas,Deskripsi pelanggaran 22,Berat,210640
23,35,2024-08-23,Absen Tanpa Keterangan,Deskripsi pelanggaran 23,Sedang,583460
24,43,2024-08-22,Pelanggaran Dress Code,Deskripsi pelanggaran 24,Ringan,952818
25,50,2024-08-12,Absen Tanpa Keterangan,Deskripsi pelanggaran 25,Ringan,342263
26,10,2024-09-28,Pelanggaran Dress Code,Deskripsi pelanggaran 26,Berat,804540
